City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Omsukchan,RU,62.5333,155.8,17.58,94,100,1.68,overcast clouds
297,Filingue,NE,14.3521,3.3168,97.56,8,43,3.49,scattered clouds
298,Sai Buri,TH,6.7013,101.6168,80.96,83,69,2.68,broken clouds
299,Ploemeur,FR,47.7333,-3.4333,60.82,65,0,10.36,clear sky
300,Pa Daet,TH,19.5049,99.9924,80.35,74,91,2.04,overcast clouds
301,Gamboma,CG,-1.8764,15.8644,75.72,72,85,2.57,overcast clouds
302,Burns Lake,CA,54.2331,-125.7533,47.1,50,100,5.53,overcast clouds
303,Clyde River,CA,70.4692,-68.5914,15.76,72,80,3.58,broken clouds
304,Loviisa,FI,60.4566,26.2251,40.28,76,100,10.27,overcast clouds
305,Ocos,GT,14.5094,-92.1933,91.58,64,38,7.0,scattered clouds
306,Nevesinje,BA,43.2586,18.1133,51.39,70,59,1.1,broken clouds
307,Alice Springs,AU,-23.7,133.8833,56.75,77,12,6.91,few clouds
308,Channel-Port Aux Basques,CA,47.5702,-59.1367,40.59,91,95,7.49,overcast clouds
309,Veraval,IN,20.9,70.3667,82.89,83,0,9.93,clear sky
310,Hun,LY,29.1268,15.9477,85.59,12,81,15.79,broken clouds
311,Mazara Del Vallo,IT,37.6641,12.588,64.94,73,89,4.25,overcast clouds
312,Virginia Beach,US,36.8529,-75.978,64.45,52,75,9.22,broken clouds
313,Alexandria,EG,31.2156,29.9553,66.36,78,0,13.8,clear sky
314,Avera,US,33.194,-82.5271,81.55,42,61,7.74,broken clouds
315,East London,ZA,-33.0153,27.9116,64.81,67,1,16.51,clear sky
316,Hualmay,PE,-11.0964,-77.6139,72.32,72,83,10.42,broken clouds
317,Khasan,RU,42.4308,130.6434,40.23,68,20,7.34,few clouds
318,Severo-Kurilsk,RU,50.6789,156.125,32.76,87,91,8.3,overcast clouds
319,Egvekinot,RU,66.3167,-179.1667,14.02,84,100,10.45,overcast clouds
320,Rawson,AR,-43.3002,-65.1023,58.64,46,88,19.1,overcast clouds
321,Arlit,NE,18.7369,7.3853,96.91,6,100,7.76,overcast clouds
322,Zhigansk,RU,66.7697,123.3711,31.59,94,100,34.67,snow
323,Saint-Joseph,RE,-21.3667,55.6167,77.38,80,41,8.57,scattered clouds
324,Sechura,PE,-5.5569,-80.8222,80.49,54,89,9.4,overcast clouds
325,Hambantota,LK,6.1241,81.1185,81.43,85,88,13.91,overcast clouds
326,Chorozinho,BR,-4.3003,-38.4978,85.55,71,48,3.53,scattered clouds
327,Sioux City,US,42.5,-96.4003,51.71,85,100,21.0,mist
328,Lac Du Bonnet,CA,50.2536,-96.0612,43.29,94,100,8.39,light rain
329,Cherskiy,RU,68.75,161.3,-3.37,100,82,4.59,broken clouds
330,Kemijarvi,FI,66.7131,27.4306,29.79,75,89,2.48,overcast clouds
331,Port Blair,IN,11.6667,92.75,83.39,72,74,4.52,broken clouds
332,Agirish,RU,61.9247,63.0231,32.16,71,14,9.51,few clouds
333,Tasiilaq,GL,65.6145,-37.6368,42.96,47,66,12.68,broken clouds
334,Curillo,CO,1.0333,-75.9191,70.45,100,100,0.56,overcast clouds
335,Maarianhamina,AX,60.0973,19.9348,40.86,87,0,4.61,clear sky
336,Merrill,US,45.1805,-89.6835,44.82,88,100,20.71,moderate rain
337,Susuman,RU,62.7833,148.1667,23.27,93,98,3.11,overcast clouds
338,Cortez,US,37.3489,-108.5859,63.03,17,0,11.5,clear sky
339,Salalah,OM,17.0151,54.0924,86.09,84,20,5.75,few clouds
340,Strezhevoy,RU,60.7333,77.5889,25.79,77,9,2.55,clear sky
341,Falavarjan,IR,32.5553,51.5097,54.61,72,99,5.64,moderate rain
342,Tacuarembo,UY,-31.7333,-55.9833,58.69,67,28,3.44,scattered clouds
343,Sayat,TM,38.7839,63.8803,80.47,17,100,12.62,overcast clouds
344,Nouadhibou,MR,20.931,-17.0347,65.97,82,100,25.93,overcast clouds
